Track_name;Artist_Name;genra;lyrics
Die From A Broken Heart;Maddie & Tae;country;Hey mama, how do you get a red wine stain Out of your favorite dress? Black mascara off a pillowcase? Cure a one-too-many headache? Mama, can I come and maybe stay a few days This weekend or next? And hey, how do you get a red wine stain Out of your favorite dress?  [Chorus: Both] How does he sleep at night? Mama, the nerve of this guy To leave me so easy Am I gonna be alright? I wanna kick myself for falling so hard Mama, can you die from a broken heart?  [Verse 2: Both, Maddie] Can you ask Daddy if he's got time To come and look at my front door? It got slammed last night And now it don't close right And just promise that you won't tell him everything And keep that pistol in the drawer Mama, please don't say I'm gonna laugh about this someday You didn't see the way he drove away See Maddie & Tae LiveGet tickets as low as $40You might also like[Chorus: Both] How does he sleep at night? Mama, the nerve of this guy To leave me so easy Am I gonna be alright? I wanna kick myself for falling so hard Mama, can you die from a broken heart? Oh, a broken heart  [Bridge: Maddie, Tae, Both] Can your knees give out from prayin' so hard? (Prayin' so hard) Can you go blind from crying in the dark? (In the dark) Was it ever really real If he don't feel like I feel?  [Chorus: Both, Maddie] How does he sleep at night? Mama, the nerve of this guy To leave me so easy Am I gonna be alright? How does he sleep at night? Mama, the nerve of this guy To leave me so easy Am I gonna be alright? I wanna kick myself for falling so hard Mama, can you die from a broken heart? A broken heart8Embed;
She Got the Best of Me;Luke Combs;country;Seventeen, you don't think that much about life You just live it Like kerosene dancing around a fire But you're in it  [Pre-Chorus] So you jump right in Ain't afraid to fall And you give it all   She got the best of me She broke my heart Now all that's left of me Is beating in this guitar Every night, a different town She follows me around So you get what's left of me Yeah, you get what's left of me 'Cause she got the best of me   I picked myself up off the floor And found something new worth living for And a old dusty hand-me-down six-string And a couple chords See Luke Combs LiveGet tickets as low as $110You might also like[Pre-Chorus] I'm getting over her A little more with every song So y'all sing along   She got the best of me She broke my heart Now all that's left of me Is beating in this guitar Every night, a different town She follows me around So you get what's left of me Yeah, you get what's left of me 'Cause she got the best of me   She got the best of me She broke my heart Now all that's left of me Is beating in this guitar Every night, a different town She follows me around So you get what's left of me Yeah, you get what's left of me 'Cause she got the best of me [Outro] She got the best of me She got the best of me She got the best of me9Embed;
You and Tequila (feat. Grace Potter);Kenny Chesney;country;Baby, here I am again Kicking dust in the canyon wind Waiting for that sun to go down Made it up Mulholland Drive Hellbent on getting high High above the lights of town   You and tequila make me crazy Run like poison in my blood One more night could kill me, baby One is one too many, one more is never enough   Thirty days and thirty nights Been putting up a real good fight There were times I thought you'd win It's so easy to forget The bitter taste the morning left Swore I wouldn't go back there again   You and tequila make me crazy Run like poison in my blood One more night could kill me, baby One is one too many, one more is never enough You might also like[Bridge] When it comes to you Oh, the damage I could do It's always your favorite sins That do you in   You and tequila make me crazy Run like poison in my blood One more night could kill me, baby One is one too many, one more is never enough  [Outro] Never enough You and tequila You and tequila make me crazy1Embed;
Before He Cheats;Carrie Underwood;country;Right now, he's probably slow dancing With a bleached-blonde tramp And she's probably getting frisky Right now, he's probably buying her some fruity little drink 'Cause she can't shoot a whiskey Right now, he's probably up behind her with a pool-stick Showing her how to shoot a combo And he don't know   I dug my key into the side Of his pretty little souped up four-wheel drive Carved my name into his leather seats I took a Louisville Slugger to both headlights Slashed a hole in all four tires Maybe next time, he'll think before he cheats   Right now, she's probably up singing some White-trash version of Shania karaoke Right now, she's probably saying, "I'm drunk" And he's a thinking that he's gonna get lucky Right now, he's probably dabbing on Three dollars worth of that bathroom Polo Oh, and he don't know See Carrie Underwood LiveGet tickets as low as $76You might also like Oh, that I dug my key into the side Of his pretty little souped up four-wheel drive Carved my name into his leather seats I took a Louisville Slugger to both headlights Slashed a hole in all four tires Maybe next time, he'll think before he cheats  [Bridge] I might've saved a little trouble for the next girl 'Cause the next time that he cheats Oh, you know it won't be on me No, not on me   'Cause I dug my key into the side Of his pretty little souped up four-wheel drive Carved my name into his leather seats I took a Louisville Slugger to both headlights Slashed a hole in all four tires Maybe next time, he'll think before he cheats  [Outro] Oh, maybe next time, he'll think before he cheats Oh, before he cheats Oh29Embed;
Suds in the Bucket;Sara Evans;country;She was in the backyard Say it was a little past nine When her prince pulled up A white pick-up truck Her folks shoulda seen it coming It was only just a matter of time Plenty old enough, and you can't stop love She stuck a note on the screen door "Sorry, but I got to go" And that was all she wrote Her mama's heart was broke And that was all she wrote Or so the story goes  [Chorus 1] Now her daddy's in the kitchen Starin' out the window Scratchin' and a-rackin' his brains How could eighteen years just up and walk away? Our little pony-tailed girl, grown up to be a woman Now she's gone in the blink of an eye She left the suds in the bucket And the clothes hangin' out on the line   Now, don't you wonder What the preacher's gonna preach about Sunday mornin'? Nothing quite like this Has happened here before Well, he must have been a looker A smooth talkin' son of a gun For such a grounded girl To just up and run 'Course you can't fence time And you can't stop love See Sara Evans LiveGet tickets as low as $38You might also like Now all the biddies in the beauty shop Gossip goin' non-stop Sippin' on pink lemonade How could eighteen years just up and walk away? Our little pony-tailed girl, grown up to be a woman Now she's gone in the blink of an eye She left the suds in the bucket And the clothes hangin' out on the line Yee-hoo!  [Instrumental Break]  [Bridge] She's got her pretty little bare feet Hangin' out the window And they're heading up to Vegas tonight   How could eighteen years just up and walk away? Our little pony-tailed girl, grown up to be a woman Now she's gone in the blink of an eye She left the suds in the bucket And the clothes hangin' out on the line She left the suds in the bucket And the clothes hangin' out on the line [Outro] She was in the backyard Say it was a little past nine When her prince pulled up A white pickup truck Plenty old enough And you can't stop love No, you can't fence time And you can't stop love (Ooh)Embed;
Night Shift;Jon Pardi;country;It's been a wreck me week Sixty plus from dawn to dusk In the red dirt heat Busting it up for a couple of bucks But it ain't no thing Just another day 'til I'm on my way To them cool, cool sheets and you and me   Working on the night shift, baby Dying for your touch like crazy Racking up the overtime hours Loving how we're working on the night shift, baby   Gonna rock it right No need to talk, I know what you want And what you like 'Cause I do too, yeah I love how you leave on the lights Not a thing between you and me And it feels so nice when you and I are   Working on the night shift, baby Dying for your touch like crazy Racking up the overtime hours Loving how we're working on the night shift, baby See Jon Pardi LiveGet tickets as low as $21You might also like[Bridge] Yeah, yeah It's been a wreck me week Oh, but who needs sleep?   When you're working on the night shift, baby Dying for your touch like crazy Racking up the overtime hours Loving how we're working on the night shift, baby Loving how we're working on the night shift Loving how we're working on the night shift Working on the night shift, baby2Embed;
Boondocks;Little Big Town;country;I feel no shame, I'm proud of where I came from I was born and raised in the boondocks One thing I know, no matter where I go I keep my heart and soul in the boondocks   And I can feel that Muddy water runnin' through my veins And I can hear that Lullaby of the midnight train And it sings to me and it sounds familiar   I feel no shame, I'm proud of where I came from I was born and raised in the boondocks One thing I know, no matter where I go I keep my heart and soul in the boondocks   I can taste that honeysuckle and it's still so sweet When it grows wild on the banks down at Old Camp Creek Yeah, and it calls to me like a warm wind blowin'   I feel no shame, I'm proud of where I came from I was born and raised in the boondocks One thing I know, no matter where I go I keep my heart and soul in the boondocks See Little Big Town LiveGet tickets as low as $36You might also like[Bridge 1] It's where I learned about livin' It's where I learned about love It's where I learned about workin' hard And havin' a little was just enough It's where I learned about Jesus And knowin' where I stand You can take it or leave it This is me, this is who I am  [Guitar Solo]  [Bridge 2] Give me a tin roof, a front porch and a gravel road And that's home to me, feels like home to me   I feel no shame, I'm proud of where I came from I was born and raised in the boondocks One thing I know, no matter where I go I keep my heart and soul in the boondocks I keep my heart and soul in the boondocks  [Outro] You get a line, I get a pole We'll go fishing in the crawfish hole Five card poker on Saturday night Church on Sunday morning You get a line, I get a pole (You get a line, I get a pole) We'll go fishing (We'll go fishing in the crawfish hole) Down in the boondocks (Five card poker on Saturday night) Church on Sunday morning You get a line, I get a pole (You get a line, I get a pole) We'll go fishing (We'll go fishing in the crawfish hole) Down in the boondocks (Five card poker on Saturday night) (Say a little prayer for me) Church on Sunday morning You get a line, I get a pole (You get a line, I get a pole) We'll go fishing (We'll go fishing in the crawfish hole) Down in the boondocks (Five card poker on Saturday night) (Say a little prayer for me) Church on Sunday morning You get a line, I get a pole (You get a line, I get a pole) We'll go fishing (We'll go fishing in the crawfish hole) Down in the boondocks (Five card poker on Saturday night) (Say a little prayer for me) Church on Sunday morning You get a line, I get a pole (You get a line, and I get a pole) We'll go fishing (We'll go fishing in the crawfish hole) Down in the boondocks (Five card poker on Saturday night) (Say a little prayer for me) Church on Sunday morning You get a line, I get a pole (You get a line, I get a pole) We'll go fishing (We'll go fishing in the crawfish hole) Down in the boondocks (Five card poker on Saturday night) (Say a little prayer for me) Church on Sunday morning3Embed;
Forever After All;Luke Combs;country;A cold beer's got twelve ounces A good truck's got maybe three hundred thousand You only get so much until it's gone Duracells in a Maglite A needle drop on a forty-five Are the kinda things that only last so long  [Pre-Chorus] When the new wears off, and they get to gettin' old Sooner or later, time's gonna take its toll   They say nothing lasts forever But they ain't seen us together Or the way the moonlight dances in your eyes Just a T-shirt in the kitchen With no make-up and a million Other things that I could look at my whole life A love like that makes a man have second thoughts Maybe some things last forever after all   The FM station on the outskirts Blue jeans after years of shift work All fadin' out like I always knew they would The strings on this guitar The first love lost on a young heart Those things are gonna break after the getting's good See Luke Combs LiveGet tickets as low as $110You might also like[Pre-Chorus] 'Cause the new wears off and they get to gettin' old Yeah, sooner or later, time's gonna take its toll   They say nothing lasts forever But they ain't seen us together Or the way the moonlight dances in your eyes Just a T-shirt in the kitchen With no make-up and a million Other things that I could look at my whole life A love like that makes a man have second thoughts Maybe some things last forever after all  [Guitar Solo]   They say nothing lasts forever But they ain't seen us together Or the way the moonlight dances in your eyes And I know there'll be that moment The good Lord calls one of us home and One won't have the other by their side But Heaven knows it, that won't last too long Maybe some things last forever after all [Outro] After all20Embed;
Austin;Blake Shelton;country;She left without leaving a number Said, she needed to clear her mind He figured she'd gone back to Austin 'Cause she talked about it all the time It was almost a year Before she called him up Three rings and an answering machine Is what she got   If you're calling 'bout the car, I sold it If this is Tuesday night I'm bowling If you've got something to sell You're wasting your time, I'm not buying If it's anybody else, wait for the tone You know what to do And P.S. if this is Austin I still love you   The telephone fell to the counter She heard but she couldn't believe What kind of man would hang on that long What kind of love that must be She waited three days And then she tried again She didn't know what she'd say But she heard three rings and then See Blake Shelton LiveGet tickets as low as $75You might also like If it's Friday night I'm at the ballgame And first thing Saturday, if it don't rain I'm headed out to the lake And I'll be gone, all weekend long But I'll call you back when I get home On Sunday afternoon And P.S. if this is Austin I still love you  [Bridge] Well, this time she left her number But not another word Then she waited by the phone on Sunday evening And this is what he heard   If you're calling 'bout my heart, it's still yours I should've listened to it a little more Then it wouldn't have taken me so long To know where I belong And by the way, boy This is no machine you're talking to Can't you tell, this is Austin And I still love you I still love you7Embed;
Springsteen;Eric Church;country;To this day when I hear that song I see you standin' there on that lawn Discount shades, store bought tan Flip flops and cut-off jeans Somewhere between that setting sun I'm on Fire and Born to Run You looked at me and I was done And we're, we're just getting started   I was singin' to you, you were singin' to me I was so alive, never been more free Fired up my daddy's lighter and we sang Oohh Stayed there 'til they forced us out And took the long way to your house I can still hear the sound of you sayin' "don't go"   When I think about you, I think about 17 I think about my old Jeep I think about the stars in the sky Funny how a melody sounds like a memory Like the soundtrack to a July Saturday night Springsteen See Eric Church LiveGet tickets as low as $177You might also like I bumped into you by happenstance You probably wouldn't even know who I am But if I whispered your name I bet there'd still be a spark Back when I was gasoline And this old tattoo had brand new ink And we didn't care what your mom would think About your name on my arm   Baby, is it spring or is it summer? The guitar sound or the beat of that drummer You hear sometimes late at night On your radio Even though you're a million miles away When you hear Born in the USA You relive those glory days So long ago   When you think about me, do you think about 17 Do you think about my old Jeep Think about the stars in the sky Funny how a melody sounds like a memory Like a soundtrack to a July Saturday night Springsteen Springsteen [Bridge] Woah-oh-oh-oh Woah-oh-oh-oh Woah-oh-oh-oh-oh-oh-oh Woah-oh-oh-oh Woah-oh-oh-oh Woah-oh-oh-oh-oh-oh-oh  [Refrain] Funny how a melody sounds like a memory Like a soundtrack to a July Saturday night Springsteen Springsteen Woah Springsteen  [Outro] Woah-oh-oh-oh Woah-oh-oh-oh Woah-oh-oh-oh-oh-oh-oh Woah-oh-oh-oh Woah-oh-oh-oh Woah-oh-oh-oh-oh-oh-oh Woah-oh-oh-oh Woah-oh-oh-oh Woah-oh-oh-oh-oh-oh-oh Woah-oh-oh-oh Woah-oh-oh-oh Woah-oh-oh-oh-oh-oh-oh14Embed;
Rumor;Lee Brice;country;Girl you know I've known you forever How many nights we hung out together Same little crowd, little bar, little town Round this old dance floor My boys are laughing and tap me on the shoulder Making a motion like "'Could y'all get any closer?" They wanna know what's up why I'm still holding ya Even when the song is over   There's a rumor going round about me and you Stirring up our little town the last week or two So tell me why we even trying to deny this feeling I feel it, don't you feel it too? There's a rumor going round, and round, and round What d'you say we make it true? We make it true Oh, we make it true   Well I can shut 'em down, tell them all they're crazy I can do whatever you want me to do, baby Or you could lay one on me right now We could really give them something to talk about See Lee Brice LiveGet tickets as low as $26You might also like There's a rumor going round about me and you Stirring up our little town the last week or two So tell me why we even trying to deny this feeling I feel it, don't you feel it too? There's a rumor going round, and round, and round What d'you say we make it true, baby?  [Bridge] Oh be honest girl now Do you want to do this or not? Should we keep them talking, girl Or should we just make them stop?   There's a rumor going round about me and you Stirring up our little town the last week or two So tell me why we even trying to deny this feeling I feel it, and you feel it too There's a rumor going round, and round, and round Whatd'you say we make it- Make it true? Whatd'you say we make it true? Come on over here Let's really give them something to talk about, baby There's a rumor going round2Embed;
American Honey;Lady A;country;She grew up on the side of the road Where the church bells ring and strong love grows She grew up good, she grew up slow Like American honey   Steady as a preacher, free as a weed Couldn't wait to get goin', but wasn't quite ready to leave So innocent, pure and sweet American honey   There's a wild, wild whisper blowin' in the wind Callin' out my name like a long lost friend Oh, I miss those days as the years go by Oh, nothin' sweeter than summertime And American honey   Get caught in the race of this crazy life Tryin' to be everything can make you lose your mind I just wanna go back in time To American honey, yeah   There's a wild, wild whisper blowin' in the wind Callin' out my name like a long lost friend Oh, I miss those days as the years go by Oh, nothin' sweeter than summertime And American honey You might also like[Bridge] Gone for so long now I gotta get back to her somehow To American honey Mm, yeah, yeah   Ooh, there's a wild, wild whisper blowin' in the wind Callin' out my name like a long lost friend Oh, I miss those days as the years go by Oh, nothin' sweeter than summertime And American honey  [Outro] And American honey MmEmbed;
