Track_name;Artist_Name;genra;lyrics
New Rules;Dua Lipa;pop;One   Talkin' in my sleep at night, makin' myself crazy (Out of my mind, out of my mind) Wrote it down and read it out, hopin' it would save me (Too many times, too many times)  [Refrain] My love He makes me feel like nobody else, nobody else But my love He doesn't love me, so I tell myself, I tell myself  [Pre-Chorus] One, don't pick up the phone You know he's only callin' 'cause he's drunk and alone Two, don't let him in You'll have to kick him out again Three, don't be his friend You know you're gonna wake up in his bed in the mornin' And if you're under him, you ain't gettin' over him   I got new rules, I count 'em I got new rules, I count 'em I gotta tell them to myself I got new rules, I count 'em I gotta tell them to myself See Dua Lipa LiveGet tickets as low as $68You might also like I keep pushin' forwards, but he keeps pullin' me backwards (Nowhere to turn, no way, nowhere to turn, no) Now I'm standin' back from it, I finally see the pattern (I never learn, I never learn)  [Refrain] But my love He doesn't love me, so I tell myself, I tell myself I do, I do, I do  [Pre-Chorus] One, don't pick up the phone You know he's only callin' 'cause he's drunk and alone Two, don't let him in You'll have to kick him out again Three, don't be his friend You know you're gonna wake up in his bed in the mornin' And if you're under him, you ain't gettin' over him   I got new rules, I count 'em I got new rules, I count 'em I gotta tell them to myself I got new rules, I count 'em I gotta tell them to myself [Bridge] Practice makes perfect I'm still tryna learn it by heart (I got new rules, I count 'em) Eat, sleep, and breathe it Rehearse and repeat it 'cause I (I got new, I got new)  [Pre-Chorus] One, don't pick up the phone (Yeah) You know he's only callin' 'cause he's drunk and alone (Alone) Two, don't let him in (Oh-ooh) You'll have to kick him out again (Again) Three, don't be his friend You know you're gonna wake up in his bed in the mornin' And if you're under him, you ain't gettin' over him   I got new rules, I count 'em I got new rules, I count 'em (Woah, oh) I gotta tell them to myself I got new rules, I count 'em (Baby, you know I count 'em) I gotta tell them to myself  [Outro] Don't let him in, don't let him in Don't, don't, don't, don't Don't be his friend, don't be his friend Don't, don't, don't, don't Don't let him in, don't let him in Don't, don't, don't, don't Don't be his friend, don't be his friend Don't, don't, don't, don't You're gettin' over him197Embed;
Party In The U.S.A.;Miley Cyrus;pop;I hopped off the plane at LAX With a dream and my cardigan Welcome to the land of fame excess (Woah) Am I gonna fit in? Jumped in the cab, here I am for the first time Look to my right, and I see the Hollywood sign This is all so crazy Everybody seems so famous  [Pre-Chorus] My tummy's turnin' and I'm feelin' kinda homesick Too much pressure and I'm nervous That's when the taxi man turned on the radio And a JAY-Z song was on And a JAY-Z song was on And a JAY-Z song was on   So I put my hands up They're playin' my song, the butterflies fly away I'm noddin' my head like, "Yeah" Movin' my hips like, "Yeah" I got my hands up, they're playin' my song I know I'm gonna be okay Yeah, it's a party in the U.S.A.� Yeah, it's a party in the U.S.A.� You might also like Get to the club in my taxi cab Everybody's lookin' at me now Like, "Who's that chick that's rockin' kicks?" "She gotta be from out of town" So hard with my girls not around me It's definitely not a Nashville party 'Cause all I see are stilettos I guess I never got the memo  [Pre-Chorus] My tummy's turnin' and I'm feelin' kinda homesick Too much pressure and I'm nervous That's when the DJ dropped my favorite tune And a Britney song was on And a Britney song was on And a Britney song was on   So I put my hands up They're playin' my song, the butterflies fly away I'm noddin' my head like, "Yeah" Movin' my hips like, "Yeah" I got my hands up, they're playin' my song I know I'm gonna be okay Yeah, it's a party in the U.S.A.� Yeah, it's a party in the U.S.A.� [Bridge] Feel like hopping on a flight (On a flight) Back to my hometown tonight (Town tonight) Something stops me every time (Every time) The DJ plays my song and I feel alright (Hey, hey)   So I put my hands up They're playin' my song, the butterflies fly away I'm noddin' my head like, "Yeah" (N-n-n-noddin' my head) Movin' my hips like, "Yeah" (Ooh, yeah) I got my hands up, they're playin' my song I know I'm gonna be okay (Gonna be okay) Yeah (Na-na, na-na), it's a party in the U.S.A.� Yeah, it's a party in the U.S.A.� So I put my hands up They're playin' my song, the butterflies fly away (Flying away) I'm noddin' my head like, "Yeah" (Noddin' my head like, "Yeah") Movin' my hips like, "Yeah" (Movin' my hips like, "Yeah") I got my hands up, they're playin' my song I know I'm gonna be okay (I'm gonna be okay) Yeah (Yeah), it's a party in the U.S.A.� Yeah (Ha-ha-ha-ha), it's a party in the U.S.A.�220Embed;
Danza Kuduro;Don Omar;pop; [Intro: Don Omar] A&X El Orfanato �Danza Kuduro! (Plop, plop, plop, plop, plop, plop, plop) �Lucenzo! (El Orfanato) �El Rey!  [Coro: Don Omar] La mano arriba, cintura sola Da media vuelta, danza kuduro No te canse' ahora, que esto solo empieza Mueve la cabeza, danza kuduro La mano arriba, cintura sola Da media vuelta, danza kuduro No te canse' ahora, que esto solo empieza Mueve la cabeza, danza kuduro  [Verso: Don Omar] �Qui�n puede domar la fuerza del mar que se mete por tus vena'? (�Don!) Lo caliente del sol que se te meti� y no te deja quieta, nena (�Toma, toma!) �Qui�n puede parar eso que al bailar descontrola tus cadera'? (Sexy) Y ese fuego que quema por dentro y lento te convierte en fiera (�Rra!)  [Coro: Don Omar] Con la mano arriba, cintura sola Da media vuelta y sacude duro No te quite' ahora, que esto solo empieza Mueve la cabeza y sacude duro (�Don!) You might also like[Refr�n: Lucenzo] Mexe kuduro Balan�a que � uma loucura Morena, vem a meu lado Ningu�m vai ficar parado Quero ver mexer kuduro Balan�a que � uma loucura Morena, vem a meu lado Ningu�m vai ficar parado, oh-oh-oh  [Pre-Coro: Lucenzo] Oi, oi, oi Oi, oi, oi, oi � pa' quebrar kuduro Vamos dan�ar kuduro Oi, oi, oi Oi, oi, oi, oi Seja morena ou loira Vem balan�ar kuduro Oi, oi, oi  [Coro: Don Omar] La mano arriba, cintura sola Da media vuelta, danza kuduro No te canse' ahora, que esto solo empieza Mueve la cabeza, danza kuduro La mano arriba, cintura sola Da media vuelta, danza kuduro No te canse' ahora, que esto solo empieza Mueve la cabeza, danza kuduro [Refr�n: Lucenzo] Balan�a que � uma loucura Morena, vem a meu lado Ningu�m vai ficar parado Quero ver mexer kuduro Balan�a que � uma loucura Morena, vem a meu lado Ningu�m vai ficar parado, oh-oh-oh  [Pre-Coro: Lucenzo & Don Omar] Oi, oi, oi Oi, oi, oi, oi � pa' quebrar kuduro Vamos dan�ar kuduro Oi, oi, oi Oi, oi, oi, oi Seja morena ou loira Vem balan�ar kuduro Oi, oi, oi �El Orfanato!  [Coro: Don Omar] La mano arriba (Vai, vai, vuelta), cintura sola (Vai, vai, vuelta) Da media vuelta (Vai, vai, vuelta), danza kuduro (Vai, vai, vuelta) No te canse' ahora (Vai, vai, vuelta), que esto solo empieza (Vai, vai, vuelta) Mueve la cabeza (Vai, vai, vuelta), danza kuduro (Vai, vai, vuelta) La mano arriba, cintura sola Da media vuelta, danza kuduro No te canse' ahora, que esto solo empieza Mueve la cabeza, danza kuduro [Outro: Don Omar] A&X31Embed;
bad guy;Billie Eilish;pop;White shirt now red, my bloody nose Sleepin', you're on your tippy toes Creepin' around like no one knows Think you're so criminal Bruises on both my knees for you Don't say thank you or please I do what I want when I'm wanting to My soul? So cynical   So you're a tough guy Like it really rough guy Just can't get enough guy Chest always so puffed guy I'm that bad type Make your mama sad type Make your girlfriend mad tight Might seduce your dad type I'm the bad guy Duh  [Post-Chorus] I'm the bad guy   I like it when you take control Even if you know that you don't Own me, I'll let you play the role I'll be your animal My mommy likes to sing along with me But she won't sing this song If she reads all the lyrics She'll pity the men I know See Billie Eilish LiveGet tickets as low as $133You might also like So you're a tough guy Like it really rough guy Just can't get enough guy Chest always so puffed guy I'm that bad type Make your mama sad type Make your girlfriend mad tight Might seduce your dad type I'm the bad guy Duh  [Post-Chorus] I'm the bad guy, duh I'm only good at bein' bad, bad [Bridge] I like when you get mad I guess I'm pretty glad that you're alone You said she's scared of me? I mean, I don't see what she sees But maybe it's 'cause I'm wearing your cologne  [Outro] I'm a bad guy I'm, I'm a bad guy Bad guy, bad guy I'm a bad346Embed;
Umbrella;Rihanna;pop;Uh-huh, uh-huh (Yeah, Rihanna) Uh-huh, uh-huh (Good Girl Gone Bad) Uh-huh, uh-huh (Take three, action) Uh-huh, uh-huh (Hov)  [Verse 1: JAY-Z & Rihanna] No clouds in my stones Let it rain, I hydroplane in the bank Comin' down with the Dow Jones (Ayy, ayy, ayy) When the clouds come, we go, we Roc-A-Fella (Ayy-ayy-ayy, ayy) We fly higher than weather, in G5's or better You know me (You know me) In anticipation for precipitation, stack chips for the rainy day Jay, Rain Man is back (Ayy-ayy-ayy, ayy) With Little Miss Sunshine, Rihanna, where you at?  (Ayy-ayy-ayy, ayy)  [Verse 2: Rihanna] You have my heart, and we'll never be worlds apart May be in magazines but you'll still be my star Baby, 'cause in the dark, you can't see shiny cars And that's when you need me there With you, I'll always share because  [Chorus: Rihanna] When the sun shine, we shine together Told you I'll be here forever Said "I'll always be your friend" Took an oath, I'ma stick it out 'til the end Now that it's rainin' more than ever Know that we'll still have each other You can stand under my umbrella You can stand under my umbrella Ella-ella, ayy, ayy, ayy Under my umbrella Ella-ella, ayy, ayy, ayy Under my umbrella Ella-ella, ayy, ayy, ayy Under my umbrella Ella-ella, ayy, ayy, ayy, ayy, ayy, ayy You might also like[Verse 3: Rihanna] These fancy things Will never come in between You're part of my entity Here for infinity When the war has took its part When the world has dealt its cards If the hand is hard Together, we'll mend your heart because  [Chorus: Rihanna] When the sun shine, we shine together Told you I'll be here forever Said "I'll always be your friend" Took an oath, I'ma stick it out 'til the end Now that it's rainin' more than ever Know that we'll still have each other You can stand under my umbrella You can stand under my umbrella Ella-ella, ayy, ayy, ayy Under my umbrella Ella-ella, ayy, ayy, ayy Under my umbrella Ella-ella, ayy, ayy, ayy Under my umbrella Ella-ella, ayy, ayy, ayy, ayy, ayy, ayy [Bridge: Rihanna] You can run into my arms It's okay, don't be alarmed Come into me There's no distance in between our love So, gonna let the rain pour I'll be all you need and more because  [Chorus: Rihanna] When the sun shine, we shine together Told you I'll be here forever Said "I'll always be your friend" Took an oath, I'ma stick it out 'til the end Now that it's rainin' more than ever Know that we'll still have each other You can stand under my umbrella You can stand under my umbrella Ella-ella, ayy, ayy, ayy Under my umbrella Ella-ella, ayy, ayy, ayy Under my umbrella Ella-ella, ayy, ayy, ayy Under my umbrella Ella-ella, ayy, ayy, ayy, ayy, ayy, ayy  [Outro: Rihanna] It's rainin', rainin' Ooh, baby, it's rainin', rainin' Baby, come into me Come into me It's rainin', rainin' Ooh, baby, it's rainin', rainin' You can always come into me Come into me It's pourin' rain It's pourin' rain Come into me Come into me It's pourin' rain It's pourin' rain Come into me79Embed;
Blank Space;Taylor Swift;pop;Nice to meet you, where you been? I could show you incredible things Magic, madness, heaven, sin Saw you there and I thought "Oh, my God, look at that face You look like my next mistake Love's a game, wanna play?" Ayy New money, suit and tie I can read you like a magazine Ain't it funny? Rumors fly And I know you heard about me So, hey, let's be friends I'm dying to see how this one ends Grab your passport and my hand I can make the bad guys good for a weekend   So it's gonna be forever Or it's gonna go down in flames? You can tell me when it's over, mm If the high was worth the pain Got a long list of ex-lovers They'll tell you I'm insane 'Cause you know I love the players And you love the game 'Cause we're young and we're reckless We'll take this way too far It'll leave you breathless, mm Or with a nasty scar Got a long list of ex-lovers They'll tell you I'm insane But I've got a blank space, baby And I'll write your name See Taylor Swift LiveGet tickets as low as $1,702You might also like Cherry lips, crystal skies I could show you incredible things Stolen kisses, pretty lies You're the king, baby, I'm your queen Find out what you want Be that girl for a month Wait, the worst is yet to come, oh, no Screaming, crying, perfect storms I can make all the tables turn Rose garden filled with thorns Keep you second guessing, like "Oh, my God, who is she?" I get drunk on jealousy But you'll come back each time you leave 'Cause, darling, I'm a nightmare dressed like a daydream   So it's gonna be forever Or it's gonna go down in flames? You can tell me when it's over, mm If the high was worth the pain Got a long list of ex-lovers They'll tell you I'm insane 'Cause you know I love the players And you love the game 'Cause we're young and we're reckless (Oh) We'll take this way too far It'll leave you breathless (Oh-oh), mm Or with a nasty scar Got a long list of ex-lovers They'll tell you I'm insane (Insane) But I've got a blank space, baby And I'll write your name [Bridge] Boys only want love if it's torture Don't say I didn't, say I didn't warn ya Boys only want love if it's torture Don't say I didn't, say I didn't warn ya   So it's gonna be forever Or it's gonna go down in flames? You can tell me when it's over (Over), mm If the high was worth the pain Got a long list of ex-lovers They'll tell you I'm insane (I'm insane) 'Cause you know I love the players And you love the game (And you love the game) 'Cause we're young and we're reckless (Yeah) We'll take this way too far (Ooh) It'll leave you breathless, mm Or with a nasty scar (With a nasty scar) Got a long list of ex-lovers They'll tell you I'm insane But I've got a blank space, baby And I'll write your name1KEmbed;
Oops!...I Did It Again;Britney Spears;pop;Mmm, yeah Yeah, yeah, yeah, yeah, yeah, yeah Yeah, yeah, yeah, yeah, yeah, yeah   I think I did it again I made you believe we're more than just friends Oh, baby, it might seem like a crush But it doesn't mean that I'm serious  [Pre-Chorus] 'Cause to lose all my senses That is just so typically me Ooh, baby, baby   Oops, I did it again, I played with your heart Got lost in the game, oh, baby, baby Oops, you think I'm in love, that I'm sent from above I'm not that innocent   You see, my problem is this I'm dreamin' away Wishin' that heroes, they truly exist I cry watching the days Can't you see I'm a fool in so many ways? You might also like[Pre-Chorus] But to lose all my senses That is just so typically me Oh, baby, oh   Oops, I did it again, I played with your heart Got lost in the game, oh, baby, baby Oops, you think I'm in love, that I'm sent from above I'm not that innocent  [Post-Chorus] Yeah, yeah, yeah, yeah, yeah, yeah Yeah, yeah, yeah, yeah, yeah, yeah  [Bridge] "All aboard!" "Britney! Before you go, there's something I want you to have." "Oh, it's beautiful! But wait a minute, isn't this...?" "Yeah, yes, it is." "But I thought the old lady dropped it into the ocean in the end." "Well, baby, I went down and got it for ya." "Aw, you shouldn't have"   Oops, I did it again to your heart Got lost in this game, oh, baby (Baby) Oops, you (Oops, you), think that I'm sent from above I'm not that innocent Oops, I did it again, I played with your heart Got lost in the game (Yeah, yeah), oh, baby, baby Oops, you think I'm in love, that I'm sent from above (Yeah yeah) I'm not that innocent (Not that innocent, babe) Oops, I (Oops, I) did it again (Did it again to your heart), I played with your heart (Got lost) Got lost in the game (In this game, oh, baby), oh, baby, baby Oops, you (Oops, you) think I'm in love (Think that I'm sent), that I'm sent from above I'm not that innocent25Embed;
Drag Me Down;One Direction;pop;I've got fire for a heart, I'm not scared of the dark You've never seen it look so easy I got a river for a soul, and, baby, you're a boat Baby, you're my only reason  [Pre-Chorus: Louis] If I didn't have you, there would be nothing left The shell of a man that could never be his best If I didn't have you, I'd never see the sun You taught me how to be someone, yeah  [Chorus: Liam, Niall] All my life, you stood by me When no one else was ever behind me All these lights, they can't blind me With your love, nobody can drag me down All my life, you stood by me When no one else was ever behind me All these lights, they can't blind me With your love, nobody can drag me down  [Post-Chorus: Louis, Harry] Nobody, nobody (Hey) Nobody can drag me down Nobody, nobody (Hey) Nobody can drag me down You might also like[Verse: Niall, Niall & Liam] I've got fire for a heart, I'm not scared of the dark You've never seen it look so easy I got a river for a soul, and baby, you're a boat Baby, you're my only reason  [Pre-Chorus: Harry & Liam, All, Harry] If I didn't have you, there would be nothing left (Nothing left) The shell of a man who could never be his best (Be his best) If I didn't have you, I'd never see the sun (See the sun) You taught me how to be someone, yeah  [Chorus: Niall] All my life (Ooh, oh-oh), you stood by me (Ooh, oh-oh) When no one else (Ooh, oh-oh) was ever behind me (Oh-oh) All these lights (Ooh, oh-oh), they can't blind me (Ooh, oh-oh) With your love (Ooh, oh-oh), nobody can drag me down  [Post-Chorus: Louis, Harry] (Ooh, oh-oh) Nobody, (Ooh, oh-oh) nobody (Hey) (Ooh, oh-oh) Nobody can drag me down (Ooh, oh-oh) Nobody, (Ooh, oh-oh) nobody (Hey) (Ooh, oh-oh) Nobody can drag me  [Builtup: Liam] All my life, you stood by me When no one else was ever behind me All these lights, they can't blind me With your love, nobody can drag me down [Chorus: Niall, Harry] All my life (Ooh, oh-oh), you stood by me (Ooh, oh-oh) When no one else (Ooh, oh-oh) was ever behind me (Oh-oh) All these lights (Ooh, oh-oh), they can't blind me (Ooh, oh-oh) With your love (Ooh, oh-oh), nobody can drag me down (Nobody can drag me down)  [Post-Chorus: Louis, Harry] (Ooh, oh-oh) Nobody, (Ooh, oh-oh) nobody (Hey) (Ooh, oh-oh) Nobody can drag me down (Nobody can drag me down, yeah) (Ooh, oh-oh) Nobody, (Ooh, oh-oh) nobody (Hey) (Ooh, oh-oh) Nobody can drag me down (Nobody can drag me down) (Ooh, oh-oh) Nobody, (Ooh, oh-oh) nobody (Hey) (Ooh, oh-oh) Nobody can drag me down (Down) (Ooh, oh-oh) Nobody, (Ooh, oh-oh) nobody (Hey) (Ooh, oh-oh) Nobody can drag me down258Embed;
Judas;Lady Gaga;pop;Oh, oh-oh-oh-whoa I'm in love with Juda-as, Juda-as Oh, oh-oh-oh-whoa I'm in love with Juda-as, Juda-as Judas, Juda-ah-ah Judas, Juda-ah-ah Judas, Juda-ah-ah Judas, Gaga  [Refrain] Judas, Juda-ah-ah Judas, Juda-ah-ah Judas, Juda-ah-ah Judas, Gaga   When he calls to me, I am ready I'll wash his feet with my hair if he needs Forgive him when his tongue lies through his brain Even after three times, he betrays me  [Pre-Chorus] (Ah-ah, ah-ah-ah-ah, ah-ah, ah-ah-ah-ah) I'll bring him down Bring him down, down (Ah-ah, ah-ah-ah-ah, ah-ah, ah-ah-ah-ah) A king with no crown King with no crown You might also like I'm just a Holy Fool, oh baby It's so cruel, but I'm still in love with Judas, baby I'm just a Holy Fool, oh baby It's so cruel, but I'm still in love with Judas, baby Oh, oh-oh-oh-whoa I'm in love with Juda-as, Juda-as Oh, oh-oh-oh-whoa I'm in love with Juda-as, Juda-as  [Refrain] Judas, Juda-ah-ah Judas, Juda-ah-ah Judas, Juda-ah-ah Judas, Gaga   I couldn't love a man so purely Even prophets forgave his goofy way I've learned love is like a brick, you can Build a house or sink a dead body  [Pre-Chorus] (Ah-ah, ah-ah-ah-ah, ah-ah, ah-ah-ah-ah) I'll bring him down Bring him down, down (Ah-ah, ah-ah-ah-ah, ah-ah, ah-ah-ah-ah) A king with no crown King with no crown  I'm just a Holy Fool, oh baby It's so cruel, but I'm still in love with Judas, baby I'm just a Holy Fool, oh baby It's so cruel, but I'm still in love with Judas, baby Oh, oh-oh-oh-whoa I'm in love with Juda-as, Juda-as Oh, oh-oh-oh-whoa I'm in love with Juda-as, Juda-as  [Breakdown] Ew   In the most Biblical sense (Ew) I am beyond repentance Fame hooker, prostitute, wench vomits her mind But in the cultural sense I just speak in future tense Judas, kiss me, if offenced Or wear ear condom next time  [Bridge] I wanna love you But something's pulling me away from you Jesus is my virtue And Judas is the demon I cling to I cling to  Just a Holy Fool, oh baby It's so cruel, but I'm still in love with Judas, baby I'm just a Holy Fool, oh baby (Just a Holy Fool, woah-oh-oh-oh) It's so cruel, but I'm still in love with Judas, baby Oh, oh-oh-oh-whoa (Woah-oh-oh-oh-oh) I'm in love with Juda-as, Juda-as (Juda-a-a-as) Oh, oh-oh-oh-whoa (Woah-oh-oh-oh-oh) I'm in love with Juda-as, Juda-as (Juda-a-a-as)  [Refrain] Judas, Juda-ah-ah Judas, Juda-ah-ah Judas, Juda-ah-ah Judas, Gaga53Embed;
Can't Get You out of My Head;Kylie Minogue;pop;La-la-la, la-la-la-la-la La-la-la, la-la-la-la-la La-la-la, la-la-la-la-la La-la-la, la-la-la-la-la  [Verse] I just can't get you out of my head Boy, your loving is all I think about I just can't get you out of my head Boy, it's more than I dare to think about   La-la-la, la-la-la-la-la La-la-la, la-la-la-la-la  [Verse] I just can't get you out of my head Boy, your loving is all I think about I just can't get you out of my head Boy, it's more than I dare to think about  [Pre-Chorus] Every night, every day Just to be there in your arms Won't you stay? Won't you lay? Stay forever and ever and ever and ever You might also like La-la-la, la-la-la-la-la La-la-la, la-la-la-la-la La-la-la, la-la-la-la-la La-la-la, la-la-la-la-la  [Verse] I just can't get you out of my head Boy, your loving is all I think about I just can't get you out of my head Boy, it's more than I dare to think about  [Pre-Chorus] There's a dark secret in me Don't leave me locked in your heart Set me free Feel the need in me Set me free Stay forever and ever and ever and ever   La-la-la, la-la-la-la-la La-la-la, la-la-la-la-la La-la-la, la-la-la-la-la La-la-la, la-la-la-la-la [Outro] La-la-la, la-la-la-la-la (I just can't get you out of my head) La-la-la, la-la-la-la-la La-la-la, la-la-la-la-la (I just can't get you out of my head) La-la-la, la-la-la-la-la La-la-la, la-la-la-la-la (I just can't get you out of my head) La-la-la, la-la-la-la-la La-la-la, la-la-la-la-la (I just can't get you out of my head) La-la-la, la-la-la-la-la54Embed;
What Do You Mean?;Justin Bieber;pop;;
Just the Way You Are;Bruno Mars;pop;Oh, oh-oh-oh Oh-oh-oh-oh Oh-oh-oh   Oh, her eyes, her eyes make the stars look like they're not shinin' Her hair, her hair falls perfectly without her tryin' She's so beautiful, uh And I tell her every day Yeah, I know, I know, when I compliment her, she won't believe me And it's so, it's so sad to think that she don't see what I see But every time she asks me, "Do I look okay?" I say   When I see your face There's not a thing that I would change 'Cause you're amazing Just the way you are And when you smile The whole world stops and stares for a while 'Cause, girl, you're amazing Just the way you are Yeah See Bruno Mars LiveGet tickets as low as $72You might also like Her lips, her lips, I could kiss them all day if she'd let me Her laugh, her laugh, she hates, but I think it's so sexy She's so beautiful, uh And I tell her every day Oh, you know, you know, you know, I'd never ask you to change If perfect's what you're searching for, then just stay the same So don't even bother askin' if you look okay You know I'll say   When I see your face There's not a thing that I would change 'Cause you're amazing Just the way you are And when you smile The whole world stops and stares for a while 'Cause, girl, you're amazing Just the way you are  [Bridge] The way you are The way you are Girl, you're amazing Just the way you are  When I see your face There's not a thing that I would change 'Cause you're amazing Just the way you are And when you smile The whole world stops and stares for a while 'Cause, girl, you're amazing Just the way you are Yeah53Embed;
